,Cases in Finland
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,1
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,3
2020-03-01,6
2020-03-02,6
2020-03-03,6
2020-03-04,6
2020-03-05,12
2020-03-06,15
2020-03-07,15
2020-03-08,23
2020-03-09,30
2020-03-10,40
2020-03-11,59
2020-03-12,59
2020-03-13,155
2020-03-14,225
2020-03-15,244
2020-03-16,277
2020-03-17,321
2020-03-18,336
2020-03-19,400
2020-03-20,450
2020-03-21,523
2020-03-22,626
2020-03-23,700
2020-03-24,792
2020-03-25,880
2020-03-26,958
2020-03-27,1041
2020-03-28,1167
2020-03-29,1240
2020-03-30,1352
2020-03-31,1418
2020-04-01,1446
2020-04-02,1518
2020-04-03,1615
2020-04-04,1882
2020-04-05,1927
2020-04-06,2176
2020-04-07,2308
2020-04-08,2487
2020-04-09,2605
2020-04-10,2769
2020-04-11,2905
2020-04-12,2974
2020-04-13,3064
2020-04-14,3161
2020-04-15,3237
2020-04-16,3369
2020-04-17,3489
2020-04-18,3681
2020-04-19,3783
2020-04-20,3868
2020-04-21,4014
2020-04-22,4129
2020-04-23,4284
2020-04-24,4395
2020-04-25,4475
2020-04-26,4576
2020-04-27,4695
2020-04-28,4740
2020-04-29,4906
2020-04-30,4995
2020-05-01,5051
2020-05-02,5176
2020-05-03,5254
2020-05-04,5327
2020-05-05,5412
2020-05-06,5573
2020-05-07,5673
2020-05-08,5738
2020-05-09,5880
2020-05-10,5962
2020-05-11,5984
2020-05-12,6003
2020-05-13,6054
2020-05-14,6145
2020-05-15,6228
2020-05-16,6286
2020-05-17,6347
2020-05-18,6380
2020-05-19,6399
2020-05-20,6443
2020-05-21,6493
2020-05-22,6537
2020-05-23,6568
2020-05-24,6579
2020-05-25,6599
2020-05-26,6628
2020-05-27,6692
2020-05-28,6743
2020-05-29,6776
2020-05-30,6826
2020-05-31,6859
2020-06-01,6885
2020-06-02,6887
2020-06-03,6911
2020-06-04,6911
2020-06-05,6941
2020-06-06,6964
2020-06-07,6981
2020-06-08,7001
2020-06-09,7025
2020-06-10,7040
2020-06-11,7064
2020-06-12,7073
2020-06-13,7087
2020-06-14,7104
2020-06-15,7108
2020-06-16,7112
2020-06-17,7117
2020-06-18,7119
2020-06-19,7133
2020-06-20,7142
2020-06-21,7143
2020-06-22,7144
2020-06-23,7155
2020-06-24,7167
2020-06-25,7172
2020-06-26,7191
2020-06-27,7198
2020-06-28,7198
2020-06-29,7209
2020-06-30,7214
2020-07-01,7236
2020-07-02,7241
2020-07-03,7242
2020-07-04,7248
2020-07-05,7253
2020-07-06,7257
2020-07-07,7262
2020-07-08,7265
2020-07-09,7273
2020-07-10,7279
2020-07-11,7291
2020-07-12,7294
2020-07-13,7295
2020-07-14,7301
2020-07-15,7296
2020-07-16,7293
2020-07-17,7301
2020-07-18,7318
2020-07-19,7335
2020-07-20,7340
2020-07-21,7351
2020-07-22,7362
2020-07-23,7372
2020-07-24,7380
2020-07-25,7388
2020-07-26,7393
2020-07-27,7398
2020-07-28,7404
2020-07-29,7414
2020-07-30,7423
2020-07-31,7432
2020-08-01,7443
2020-08-02,7453
2020-08-03,7466
2020-08-04,7483
2020-08-05,7512
